date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:21	1788/1788	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:20%20GMT	https://static.wixstatic.com/media/nsplsh_6c444b6d747776725a5a73~mv2_d_2290_2290_s_2.jpg/v1/fill/w_71,h_71,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Dominik%20Scythe.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/nsplsh_6c444b6d747776725a5a73_mv2_d_2290_2290_s_2.jpg/v1/fill/w_71,h_71,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Dominik%20Scythe.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:22	344548/344548	---MCZ	200	added ('OK')	text/html	etag:W/%22594eb8fe8a37800b7f4ebe9092264eac%22	https://aronjmatsuyama.wixsite.com/tuttitutors/cello-tutors	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors/cello-tutors.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:22	1173/1173	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:21%20GMT	https://static.wixstatic.com/media/nsplsh_755dca3f415c4949a7ea63ddd9cde599~mv2.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Raymond%20Petrik.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/nsplsh_755dca3f415c4949a7ea63ddd9cde599_mv2.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Raymond%20Petrik.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:23	332756/332756	---MCZ	200	added ('OK')	text/html	etag:W/%22591b49ae95995e1f2975df963b3a7358%22	https://aronjmatsuyama.wixsite.com/tuttitutors/viola-tutors	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors/viola-tutors.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:23	1397/1397	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:23%20GMT	https://static.wixstatic.com/media/nsplsh_501fa693471642899123b878d4af1719~mv2.jpg/v1/fill/w_71,h_71,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Gilles%20Gravier.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/nsplsh_501fa693471642899123b878d4af1719_mv2.jpg/v1/fill/w_71,h_71,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Gilles%20Gravier.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:25	352577/352577	---MCZ	200	added ('OK')	text/html	etag:W/%22fea2ac451ca4472e925253954cff467b%22	https://aronjmatsuyama.wixsite.com/tuttitutors/band-tutors	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors/band-tutors.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:25	1304/1304	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:24%20GMT	https://static.wixstatic.com/media/7308487655374ad398e34771fed84bb3.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Sheet%20Music.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/7308487655374ad398e34771fed84bb3.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Sheet%20Music.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:25	25545/25545	---M-Z	200	added ('OK')	application/javascript	etag:W/%223420cff8bf368157ef7c715be4697c42%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.46b20782.bundle.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/services/wix-thunderbolt/dist/8875.46b20782.bundle.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:25	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/aronsite/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:26	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:22:25%20GMT	https://aronjmatsuyama.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/sitemap.16.delayed	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:26	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:22:26%20GMT	https://aronjmatsuyama.wixsite.com/feed.xml	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/feed.17.delayed	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:26	125361/125361	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b77093b22094cab1b09a2829ef5a1a94%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.bd36dfd5.bundle.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.bd36dfd5.bundle.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:27	256682/256682	---M-Z	200	added ('OK')	application/javascript	etag:W/%22760e12c954bbcecd1c3c35433f96b919%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.7a7823a0.bundle.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/services/wix-thunderbolt/dist/main.7a7823a0.bundle.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:27	152/152	---M--	200	added ('OK')	application/javascript	etag:%2217dc6142a5674dc31c4e4ac8ab3502fc%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:27	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:28	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:28	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:28	6088/6088	---M-Z	200	added ('OK')	application/javascript	etag:W/%220022d406fbbd37299590c9dfcb9e8438%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:29	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:22:29%20GMT	https://aronjmatsuyama.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/decodeURIComponent(e.1f.delayed	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:31	9582/9582	---M-Z	200	added ('OK')	application/javascript	etag:W/%226f1af620740f6e8d6851e2794ba694d0%22	https://static.parastorage.com/services/tag-manager-client/1.920.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/services/tag-manager-client/1.920.0/siteTags.bundle.min.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
